RECNO,Name,StaadName,AX,D,B,T,Iz,Iy,Ix,Zz,Zy
137,TUB120808,TUB120808,18.4,12.0,8.0,0.5,337.0,188.0,401.0,72.4,54.7
138,TUB1208010,TUB1208010,22.4,12.0,8.0,0.625,418.0,222.0,481.0,87.1,65.6
139,TUB1201204,TUB1201204,11.6,12.0,12.0,0.25,265.0,265.0,410.0,50.8,50.8
140,TUB1201205,TUB1201205,14.4,12.0,12.0,0.3125,324.0,324.0,506.0,62.6,62.6
141,TUB1201206,TUB1201206,17.1,12.0,12.0,0.375,380.0,380.0,599.0,73.9,73.9
142,TUB1201208,TUB1201208,22.4,12.0,12.0,0.5,485.0,485.0,777.0,95.4,95.4
143,TUB140404,TUB140404,8.59,14.0,4.0,0.25,189.0,25.8,77.0,35.4,14.3
144,TUB140405,TUB140405,10.6,14.0,4.0,0.3125,230.0,30.9,93.1,43.3,17.4
145,TUB140406,TUB140406,12.6,14.0,4.0,0.375,267.0,35.4,108.0,50.8,20.3
146,TUB140408,TUB140408,16.4,14.0,4.0,0.5,335.0,43.1,134.0,64.8,25.5
147,TUB140604,TUB140604,9.59,14.0,6.0,0.25,237.0,63.4,162.0,42.3,23.4
148,TUB140605,TUB140605,11.9,14.0,6.0,0.3125,288.0,76.7,199.0,51.9,28.7
149,TUB140606,TUB140606,14.1,14.0,6.0,0.375,337.0,89.1,233.0,61.0,33.6
150,TUB140608,TUB140608,18.4,14.0,6.0,0.5,426.0,111.0,296.0,78.3,42.9
151,TUB1401005,TUB1401005,14.4,14.0,10.0,0.3125,405.0,242.0,477.0,69.0,54.9
152,TUB1401006,TUB1401006,17.1,14.0,10.0,0.375,467.0,284.0,564.0,81.5,64.8
153,TUB1401008,TUB1401008,22.4,14.0,10.0,0.5,608.0,361.0,730.0,105.0,83.6
154,TUB1401405,TUB1401405,16.9,14.0,14.0,0.3125,522.0,522.0,812.0,86.1,86.1
155,TUB1401406,TUB1401406,20.1,14.0,14.0,0.375,615.0,615.0,963.0,102.0,102.0
156,TUB1401408,TUB1401408,26.4,14.0,14.0,0.5,791.0,791.0,1250.0,132.0,132.0
157,TUB160405,TUB160405,11.9,16.0,4.0,0.3125,327.0,35.1,110.0,54.5,19.7
158,TUB160406,TUB160406,14.1,16.0,4.0,0.375,382.0,40.4,127.0,64.2,23.0
159,TUB160408,TUB160408,18.4,16.0,4.0,0.5,481.0,49.3,157.0,82.2,29.0
160,TUB160805,TUB160805,14.4,16.0,8.0,0.3125,481.0,165.0,394.0,74.2,45.9
161,TUB160806,TUB160806,17.1,16.0,8.0,0.375,565.0,193.0,465.0,87.6,54.2
162,TUB160808,TUB160808,22.4,16.0,8.0,0.5,722.0,244.0,599.0,113.0,69.7
