RECNO,Name,StaadName,OD,Tw,AX,I,Z,C
101,HSS3.500X.250,HSSP3.500X0.25,3.5,0.233,2.39,3.21,2.49,3.66
102,HSS3.500X.216,HSSP3.500X0.216,3.5,0.201,2.08,2.84,2.19,3.25
103,HSS3.500X.203,HSSP3.500X0.203,3.5,0.189,1.97,2.7,2.07,3.09
104,HSS3.500X.188,HSSP3.500X0.188,3.5,0.174,1.82,2.52,1.93,2.88
105,HSS3.500X.125,HSSP3.500X0.125,3.5,0.116,1.23,1.77,1.33,2.02
106,HSS3X.250,HSSP3X0.25,3.0,0.233,2.03,1.95,1.79,2.6
107,HSS3X.216,HSSP3X0.216,3.0,0.201,1.77,1.74,1.58,2.32
108,HSS3X.203,HSSP3X0.203,3.0,0.189,1.67,1.66,1.5,2.21
109,HSS3X.188,HSSP3X0.188,3.0,0.174,1.54,1.55,1.39,2.06
110,HSS3X.152,HSSP3X0.152,3.0,0.141,1.27,1.3,1.15,1.73
111,HSS3X.134,HSSP3X0.134,3.0,0.124,1.12,1.16,1.03,1.55
112,HSS3X.125,HSSP3X0.125,3.0,0.116,1.05,1.09,0.965,1.46
113,HSS2.875X.250,HSSP2.875X0.25,2.875,0.233,1.93,1.7,1.63,2.37
114,HSS2.875X.203,HSSP2.875X0.203,2.875,0.189,1.59,1.45,1.37,2.01
115,HSS2.875X.188,HSSP2.875X0.188,2.875,0.174,1.48,1.35,1.27,1.88
116,HSS2.875X.125,HSSP2.875X0.125,2.875,0.116,1.01,0.958,0.884,1.33
117,HSS2.500X.250,HSSP2.500X0.25,2.5,0.233,1.66,1.08,1.2,1.72
118,HSS2.500X.188,HSSP2.500X0.188,2.5,0.174,1.27,0.865,0.943,1.38
119,HSS2.500X.125,HSSP2.500X0.125,2.5,0.116,0.869,0.619,0.66,0.99
120,HSS2.375X.250,HSSP2.375X0.25,2.375,0.233,1.57,0.91,1.07,1.53
121,HSS2.375X.218,HSSP2.375X0.218,2.375,0.203,1.39,0.824,0.96,1.39
122,HSS2.375X.188,HSSP2.375X0.188,2.375,0.174,1.2,0.733,0.845,1.23
123,HSS2.375X.154,HSSP2.375X0.154,2.375,0.143,1.0,0.627,0.713,1.06
124,HSS2.375X.125,HSSP2.375X0.125,2.375,0.116,0.823,0.527,0.592,0.887
125,HSS1.900X.188,HSSP1.900X0.188,1.9,0.174,0.943,0.355,0.52,0.747
126,HSS1.900X.145,HSSP1.900X0.145,1.9,0.135,0.749,0.293,0.421,0.617
127,HSS1.900X.120,HSSP1.900X0.12,1.9,0.111,0.624,0.251,0.356,0.527
128,HSS1.660X.140,HSSP1.660X0.14,1.66,0.13,0.625,0.184,0.305,0.444
