RECNO,Name,StaadName,AX,D,B,T,Iz,Iy,Ix,Zz,Zy
65,TUB60603,TUB60603,4.27,6.0,6.0,0.1875,23.8,23.8,37.5,9.24,9.24
66,TUB60604,TUB60604,5.59,6.0,6.0,0.25,30.3,30.3,48.5,11.9,11.9
67,TUB60605,TUB60605,6.86,6.0,6.0,0.3125,36.3,36.3,58.9,14.4,14.4
68,TUB60606,TUB60606,8.08,6.0,6.0,0.375,41.6,41.6,68.5,16.8,16.8
69,TUB60608,TUB60608,10.4,6.0,6.0,0.5,50.5,50.5,85.6,20.9,20.9
70,TUB60609,TUB60609,11.4,6.0,6.0,0.5625,54.0,54.1,92.9,22.7,22.7
71,TUB70203,TUB70203,3.14,7.0,2.0,0.1875,16.7,2.21,6.74,6.36,2.54
72,TUB70204,TUB70204,4.09,7.0,2.0,0.25,20.9,2.69,8.36,8.1,3.19
73,TUB70303,TUB70303,3.52,7.0,3.0,0.1875,21.1,5.6,14.6,7.63,4.21
74,TUB70304,TUB70304,4.59,7.0,3.0,0.25,26.6,7.0,18.5,9.79,5.36
75,TUB70305,TUB70305,5.61,7.0,3.0,0.3125,31.5,8.1,22.0,11.8,6.4
76,TUB70306,TUB70306,6.58,7.0,3.0,0.375,35.7,9.1,25.1,13.5,7.32
77,TUB70308,TUB70308,8.36,7.0,3.0,0.5,42.3,10.5,29.8,16.6,8.84
78,TUB70403,TUB70403,3.89,7.0,4.0,0.1875,25.4,10.7,24.2,8.91,6.06
79,TUB70404,TUB70404,5.09,7.0,4.0,0.25,32.3,13.5,31.2,11.5,7.78
80,TUB70405,TUB70405,6.23,7.0,4.0,0.3125,38.5,16.0,37.5,13.8,9.36
81,TUB70406,TUB70406,7.33,7.0,4.0,0.375,44.0,18.1,43.3,16.0,10.8
82,TUB70408,TUB70408,9.36,7.0,4.0,0.5,52.9,21.5,53.0,19.8,13.3
83,TUB70503,TUB70503,4.27,7.0,5.0,0.1875,29.8,17.7,35.3,10.2,8.1
84,TUB70504,TUB70504,5.59,7.0,5.0,0.25,38.0,22.6,45.6,13.2,10.4
85,TUB70505,TUB70505,6.86,7.0,5.0,0.3125,45.5,26.9,55.3,15.9,12.6
86,TUB70506,TUB70506,8.08,7.0,5.0,0.375,52.2,30.8,64.2,18.5,14.6
87,TUB70508,TUB70508,10.4,7.0,5.0,0.5,63.5,37.2,79.9,23.1,18.2
88,TUB70703,TUB70703,5.02,7.0,7.0,0.1875,38.5,38.5,60.2,12.7,12.7
89,TUB70704,TUB70704,6.59,7.0,7.0,0.25,49.4,49.4,78.3,16.5,16.5
90,TUB70705,TUB70705,8.11,7.0,7.0,0.3125,59.5,59.5,95.6,20.1,20.1
91,TUB70706,TUB70706,9.58,7.0,7.0,0.375,68.7,68.7,112.0,23.5,23.5
92,TUB70708,TUB70708,12.4,7.0,7.0,0.5,84.6,84.6,141.0,29.6,29.6
93,TUB70709,TUB70709,13.7,7.0,7.0,0.5625,91.4,91.4,154.0,32.3,32.3
94,TUB80203,TUB80203,3.52,8.0,2.0,0.1875,23.9,2.5,7.9,8.02,2.88
95,TUB80204,TUB80204,4.59,8.0,2.0,0.25,30.1,3.1,9.8,10.3,3.63
96,TUB80205,TUB80205,5.61,8.0,2.0,0.3125,35.5,3.5,11.4,12.3,4.28
97,TUB80206,TUB80206,6.58,8.0,2.0,0.375,40.1,3.9,12.6,14.2,4.83
98,TUB80303,TUB80303,3.89,8.0,3.0,0.1875,29.6,6.3,17.3,9.49,4.73
99,TUB80304,TUB80304,5.09,8.0,3.0,0.25,37.6,7.9,22.1,12.2,6.05
100,TUB80305,TUB80305,6.23,8.0,3.0,0.3125,44.7,9.3,26.3,14.7,7.24
101,TUB80306,TUB80306,7.33,8.0,3.0,0.375,51.0,10.4,29.9,17.0,8.31
102,TUB80308,TUB80308,9.36,8.0,3.0,0.5,61.0,12.1,35.7,21.0,10.1
103,TUB80403,TUB80403,4.27,8.0,4.0,0.1875,35.3,12.0,29.1,11.0,6.77
104,TUB80404,TUB80404,5.59,8.0,4.0,0.25,45.1,15.3,37.5,14.1,8.72
105,TUB80405,TUB80405,6.86,8.0,4.0,0.3125,53.9,18.1,45.2,17.1,10.5
106,TUB80406,TUB80406,8.08,8.0,4.0,0.375,61.9,20.6,52.2,19.9,12.2
107,TUB80408,TUB80408,10.4,8.0,4.0,0.5,75.1,24.6,64.1,24.7,15.0
108,TUB80409,TUB80409,11.4,8.0,4.0,0.5625,80.5,26.2,69.0,26.9,16.2
109,TUB80603,TUB80603,5.02,8.0,6.0,0.1875,46.8,30.1,57.6,13.9,11.4
110,TUB80604,TUB80604,6.59,8.0,6.0,0.25,60.1,38.6,74.9,18.0,14.8
111,TUB80605,TUB80605,8.11,8.0,6.0,0.3125,72.4,46.4,91.3,21.9,18.0
112,TUB80606,TUB80606,9.58,8.0,6.0,0.375,83.7,53.5,107.0,25.6,21.0
113,TUB80608,TUB80608,12.4,8.0,6.0,0.5,103.0,65.7,135.0,32.2,26.4
114,TUB80609,TUB80609,13.7,8.0,6.0,0.5625,112.0,70.8,147.0,35.2,28.8
115,TUB80803,TUB80803,5.77,8.0,8.0,0.1875,58.2,58.2,90.6,16.8,16.8
116,TUB80804,TUB80804,7.59,8.0,8.0,0.25,75.1,75.1,118.0,21.9,21.9
117,TUB80805,TUB80805,9.36,8.0,8.0,0.3125,90.9,90.9,145.0,26.7,26.7
118,TUB80806,TUB80806,11.1,8.0,8.0,0.375,106.0,106.0,170.0,31.3,31.3
119,TUB80808,TUB80808,14.4,8.0,8.0,0.5,131.0,131.0,217.0,39.7,39.7
120,TUB80809,TUB80809,15.9,8.0,8.0,0.5625,143.0,143.0,238.0,43.6,43.6
121,TUB808010,TUB808010,17.4,8.0,8.0,0.625,153.0,153.0,258.0,47.2,47.2
122,TUB90303,TUB90303,4.27,9.0,3.0,0.1875,40.1,7.06,20.1,11.5,5.26
123,TUB90304,TUB90304,5.59,9.0,3.0,0.25,51.1,8.84,25.6,14.9,6.73
124,TUB90305,TUB90305,6.86,9.0,3.0,0.3125,61.0,10.4,30.5,18.0,8.08
125,TUB90306,TUB90306,8.08,9.0,3.0,0.375,69.9,11.7,34.9,20.9,9.29
126,TUB90308,TUB90308,10.4,9.0,3.0,0.5,84.4,13.7,41.6,25.9,11.3
127,TUB90503,TUB90503,5.02,9.0,5.0,0.1875,54.7,22.1,50.2,14.8,9.9
128,TUB90504,TUB90504,6.59,9.0,5.0,0.25,70.3,28.2,65.2,19.3,12.8
129,TUB90505,TUB90505,8.11,9.0,5.0,0.3125,84.6,33.8,79.2,23.4,15.6
130,TUB90506,TUB90506,9.58,9.0,5.0,0.375,97.8,38.8,92.2,27.3,18.1
131,TUB90508,TUB90508,12.4,9.0,5.0,0.5,121.0,47.4,115.0,34.4,22.7
132,TUB90509,TUB90509,13.7,9.0,5.0,0.5625,130.0,50.9,126.0,37.6,24.7
133,TUB90603,TUB90603,5.39,9.0,6.0,0.1875,61.9,33.3,68.2,16.5,12.5
134,TUB90604,TUB90604,7.09,9.0,6.0,0.25,79.8,42.7,88.8,21.4,16.2
135,TUB90605,TUB90605,8.73,9.0,6.0,0.3125,96.4,51.4,108.0,26.1,19.8
136,TUB90606,TUB90606,10.3,9.0,6.0,0.375,112.0,59.4,127.0,30.6,23.1
137,TUB90608,TUB90608,13.4,9.0,6.0,0.5,139.0,73.2,160.0,38.7,29.1
138,TUB90609,TUB90609,14.8,9.0,6.0,0.5625,150.0,79.2,175.0,42.3,31.9
139,TUB906010,TUB906010,16.2,9.0,6.0,0.625,161.0,84.5,189.0,45.8,34.4
140,TUB90703,TUB90703,5.77,9.0,7.0,0.1875,69.2,47.2,87.7,18.1,15.3
141,TUB90704,TUB90704,7.59,9.0,7.0,0.25,89.4,60.8,114.0,23.6,19.9
142,TUB90705,TUB90705,9.36,9.0,7.0,0.3125,108.0,73.5,140.0,28.8,24.3
143,TUB90706,TUB90706,11.1,9.0,7.0,0.375,126.0,85.1,164.0,33.8,28.4
144,TUB90708,TUB90708,14.4,9.0,7.0,0.5,157.0,106.0,209.0,42.9,36.1
145,TUB90709,TUB90709,15.9,9.0,7.0,0.5625,170.0,115.0,229.0,47.1,39.5
146,TUB907010,TUB907010,17.4,9.0,7.0,0.625,183.0,123.0,248.0,51.0,42.8
147,TUB90903,TUB90903,6.52,9.0,9.0,0.1875,83.8,83.8,130.0,21.4,21.4
148,TUB90904,TUB90904,8.59,9.0,9.0,0.25,109.0,109.0,170.0,28.0,28.0
149,TUB90905,TUB90905,10.6,9.0,9.0,0.3125,132.0,132.0,209.0,34.3,34.3
150,TUB90906,TUB90906,12.6,9.0,9.0,0.375,154.0,154.0,246.0,40.3,40.3
151,TUB90908,TUB90908,16.4,9.0,9.0,0.5,193.0,193.0,315.0,51.4,51.4
152,TUB90909,TUB90909,18.2,9.0,9.0,0.5625,211.0,211.0,347.0,56.6,56.6
153,TUB909010,TUB909010,19.9,9.0,9.0,0.625,227.0,227.0,377.0,61.5,61.5
154,TUB100203,TUB100203,4.27,10.0,2.0,0.1875,43.7,3.1,10.3,11.9,3.56
155,TUB100204,TUB100204,5.59,10.0,2.0,0.25,55.5,3.9,12.8,15.4,4.5
156,TUB100205,TUB100205,6.86,10.0,2.0,0.3125,66.1,4.4,14.9,18.5,5.33
157,TUB100206,TUB100206,8.08,10.0,2.0,0.375,75.4,4.9,16.5,21.5,6.05
158,TUB100403,TUB100403,5.02,10.0,4.0,0.1875,61.7,14.8,39.1,15.6,8.2
159,TUB100404,TUB100404,6.59,10.0,4.0,0.25,79.3,18.8,50.4,20.2,10.6
160,TUB100405,TUB100405,8.11,10.0,4.0,0.3125,95.0,22.4,60.8,24.6,12.8
161,TUB100406,TUB100406,9.58,10.0,4.0,0.375,110.0,25.5,70.4,28.7,14.9
162,TUB100408,TUB100408,12.4,10.0,4.0,0.5,136.0,30.8,89.9,36.1,18.5
163,TUB100409,TUB100409,13.7,10.0,4.0,0.5625,146.0,32.9,93.8,39.4,20.1
164,TUB100503,TUB100503,5.39,10.0,5.0,0.1875,70.8,24.3,58.0,17.4,10.8
165,TUB100504,TUB100504,7.09,10.0,5.0,0.25,91.2,31.1,75.2,22.7,14.0
166,TUB100505,TUB100505,8.73,10.0,5.0,0.3125,110.0,37.2,91.5,27.6,17.0
167,TUB100506,TUB100506,10.3,10.0,5.0,0.375,128.0,42.9,107.0,32.3,19.9
168,TUB100508,TUB100508,13.4,10.0,5.0,0.5,158.0,52.5,134.0,40.8,25.0
169,TUB100509,TUB100509,14.8,10.0,5.0,0.5625,171.0,56.5,146.0,44.7,27.2
170,TUB1005010,TUB1005010,16.2,10.0,5.0,0.625,183.0,60.0,157.0,48.3,29.3
171,TUB100603,TUB100603,5.77,10.0,6.0,0.1875,79.8,36.5,79.1,19.3,13.6
172,TUB100604,TUB100604,7.59,10.0,6.0,0.25,103.0,46.9,103.0,25.1,17.7
173,TUB100605,TUB100605,9.36,10.0,6.0,0.3125,125.0,56.5,126.0,30.7,21.5
174,TUB100606,TUB100606,11.1,10.0,6.0,0.375,145.0,65.4,147.0,35.9,25.2
175,TUB100608,TUB100608,14.4,10.0,6.0,0.5,181.0,80.8,187.0,45.6,31.9
176,TUB100609,TUB100609,15.9,10.0,6.0,0.5625,197.0,87.5,204.0,50.0,34.9
177,TUB1006010,TUB1006010,17.4,10.0,6.0,0.625,211.0,93.5,221.0,54.2,37.7
178,TUB100803,TUB100803,6.52,10.0,8.0,0.1875,97.9,69.7,127.0,23.0,19.7
179,TUB100804,TUB100804,8.59,10.0,8.0,0.25,127.0,90.2,166.0,30.0,25.8
180,TUB100805,TUB100805,10.6,10.0,8.0,0.3125,154.0,109.0,203.0,36.7,31.5
181,TUB100806,TUB100806,12.6,10.0,8.0,0.375,180.0,127.0,239.0,43.1,37.0
182,TUB100808,TUB100808,16.4,10.0,8.0,0.5,226.0,160.0,306.0,55.1,47.2
183,TUB100809,TUB100809,18.2,10.0,8.0,0.5625,247.0,174.0,337.0,60.6,52.0
184,TUB1008010,TUB1008010,19.9,10.0,8.0,0.625,266.0,187.0,367.0,65.9,56.4
185,TUB1001003,TUB1001003,7.27,10.0,10.0,0.1875,116.0,116.0,179.0,26.6,26.6
186,TUB1001004,TUB1001004,9.59,10.0,10.0,0.25,151.0,151.0,235.0,34.9,34.9
187,TUB1001005,TUB1001005,11.9,10.0,10.0,0.3125,183.0,183.0,289.0,42.8,42.8
188,TUB1001006,TUB1001006,14.1,10.0,10.0,0.375,214.0,214.0,341.0,50.4,50.4
189,TUB1001008,TUB1001008,18.4,10.0,10.0,0.5,271.0,271.0,439.0,64.6,64.6
190,TIB1001009,TUB1001009,20.4,10.0,10.0,0.5625,297.0,297.0,485.0,71.3,71.3
191,TUB10010010,TUB10010010,22.4,10.0,10.0,0.625,321.0,321.0,529.0,77.6,77.6
192,TUB120203,TUB120203,5.02,12.0,2.0,0.1875,72.0,3.8,12.8,16.6,4.24
193,TUB120204,TUB120204,6.59,12.0,2.0,0.25,92.2,4.6,15.9,21.4,5.38
194,TUB120403,TUB120403,5.77,12.0,4.0,0.1875,98.2,17.5,49.3,21.0,9.63
195,TUB120404,TUB120404,7.59,12.0,4.0,0.25,127.0,22.3,63.6,27.3,12.5
196,TUB120405,TUB120405,9.36,12.0,4.0,0.3125,153.0,26.6,76.9,33.3,15.1
197,TUB120406,TUB120406,11.1,12.0,4.0,0.375,178.0,30.5,89.0,39.0,17.6
198,TUB120408,TUB120408,14.4,12.0,4.0,0.5,221.0,36.9,110.0,49.4,22.0
199,TUB120409,TUB120409,15.9,12.0,4.0,0.5625,240.0,39.6,119.0,54.2,24.0
200,TUIB1204010,TUB1204010,17.4,12.0,4.0,0.625,257.0,41.8,127.0,58.6,25.8
201,TUB120603,TUB120603,6.52,12.0,6.0,0.1875,124.0,42.8,101.0,25.4,15.8
202,TUB120604,TUB120604,8.59,12.0,6.0,0.25,161.0,55.2,132.0,33.2,20.6
203,TUB120605,TUB120605,10.6,12.0,6.0,0.3125,196.0,66.6,162.0,40.6,25.1
204,TUB120606,TUB120606,12.6,12.0,6.0,0.375,228.0,77.2,190.0,47.7,29.4
205,TUB120608,TUB120608,16.4,12.0,6.0,0.5,287.0,96.0,241.0,60.9,37.4
206,TUB120609,TUB120609,18.2,12.0,6.0,0.5625,313.0,104.0,264.0,67.1,41.0
207,TUB1206010,TUB1206010,19.9,12.0,6.0,0.625,337.0,112.0,286.0,72.9,44.5
208,TUB120803,TUB120803,7.27,12.0,8.0,0.1875,151.0,81.1,165.0,29.8,22.7
209,TUB120804,TUB120804,9.59,12.0,8.0,0.25,192.0,105.0,216.0,39.1,29.6
210,TUB120805,TUB120805,11.9,12.0,8.0,0.3125,237.0,128.0,265.0,47.9,36.3
211,TUB120806,TUB120806,14.1,12.0,8.0,0.375,288.0,149.0,312.0,56.5,42.7
212,TUB120808,TUB120808,18.4,12.0,8.0,0.5,337.0,188.0,401.0,72.4,54.7
213,TUB120809,TUB120809,20.4,12.0,8.0,0.5625,387.0,205.0,442.0,79.9,60.3
214,TUB1208010,TUB1208010,22.4,12.0,8.0,0.625,418.0,222.0,481.0,87.1,65.6
215,TUB1201203,TUB1201203,8.77,12.0,12.0,0.1875,203.0,203.0,312.0,38.7,38.7
216,TUB1201204,TUB1201204,11.6,12.0,12.0,0.25,265.0,265.0,410.0,50.8,50.8
217,TUB1201205,TUB1201205,14.4,12.0,12.0,0.3125,324.0,324.0,506.0,62.6,62.6
218,TUB1201206,TUB1201206,17.1,12.0,12.0,0.375,380.0,380.0,599.0,73.9,73.9
219,TUB1201208,TUB1201208,22.4,12.0,12.0,0.5,485.0,485.0,777.0,95.4,95.4
220,TUB12012010,TUB12012010,27.4,12.0,12.0,0.625,580.0,580.0,943.0,116.0,116.0
221,TUB140404,TUB140404,8.59,14.0,4.0,0.25,189.0,25.8,77.0,35.4,14.3
222,TUB140405,TUB140405,10.6,14.0,4.0,0.3125,230.0,30.9,93.1,43.3,17.4
223,TUB140406,TUB140406,12.6,14.0,4.0,0.375,267.0,35.4,108.0,50.8,20.3
224,TUB140408,TUB140408,16.4,14.0,4.0,0.5,335.0,43.1,134.0,64.8,25.5
225,TUB140604,TUB140604,9.59,14.0,6.0,0.25,237.0,63.4,162.0,42.3,234.0
226,TUB140605,TUB140605,11.9,14.0,6.0,0.3125,288.0,76.7,199.0,51.9,28.7
227,TUB140606,TUB140606,14.1,14.0,6.0,0.375,337.0,89.1,233.0,61.1,33.6
228,TUB140608,TUB140608,18.4,14.0,6.0,0.5,426.0,111.0,296.0,78.3,42.9
229,TUB1401005,TUB1401005,14.4,14.0,10.0,0.3125,405.0,242.0,477.0,69.0,54.9
230,TUB1401006,TUB1401006,17.1,14.0,10.0,0.375,467.0,284.0,564.0,81.5,64.8
231,TUB1401008,TUB1401008,22.4,14.0,10.0,0.5,608.0,361.0,730.0,105.0,83.6
232,TUB14010010,TUB14010010,27.4,14.0,10.0,0.625,728.0,431.0,885.0,127.0,101.0
233,TUB1401405,TUB1401405,16.9,14.0,14.0,0.3125,522.0,522.0,812.0,86.1,86.1
234,TUB1401406,TUB1401406,20.1,14.0,14.0,0.375,615.0,615.0,963.0,102.0,102.0
235,TUB1401408,TUB1401408,26.4,14.0,14.0,0.5,791.0,791.0,1250.0,132.0,132.0
236,TUB14014010,TUB14014010,32.4,14.0,14.0,0.625,952.0,952.0,1530.0,161.0,161.0
237,TUB160405,TUB160405,11.9,16.0,4.0,0.3125,327.0,35.1,110.0,54.5,19.7
238,TUB160406,TUB160406,14.1,16.0,4.0,0.375,382.0,40.4,127.0,64.2,23.0
239,TUB160408,TUB160408,18.4,16.0,4.0,0.5,481.0,49.3,157.0,82.2,29.0
240,TUB160805,TUB160805,14.4,16.0,8.0,0.3125,481.0,165.0,394.0,74.2,45.9
241,TUB160806,TUB160806,17.1,16.0,8.0,0.375,565.0,193.0,465.0,87.6,54.2
242,TUB160808,TUB160808,22.4,16.0,8.0,0.5,722.0,244.0,599.0,113.0,69.7
243,TUB1601205,TUB1601205,16.9,16.0,12.0,0.3125,635.0,409.0,777.0,93.8,77.2
244,TUB1601206,TUB1601206,20.1,16.0,12.0,0.375,748.0,482.0,922.0,111.0,91.3
245,TUB1601208,TUB1601208,26.4,16.0,12.0,0.5,962.0,618.0,1200.0,144.0,118.0
246,TUB16012010,TUB16012010,32.4,16.0,12.0,0.625,1160.0,742.0,1460.0,175.0,144.0
247,TUB1601605,TUB1601605,19.4,16.0,16.0,0.3125,789.0,789.0,1220.0,113.0,113.0
248,TUB1601606,TUB1601606,23.1,16.0,16.0,0.375,931.0,931.0,1450.0,134.0,134.0
249,TUB1601608,TUB1601608,30.4,16.0,16.0,0.5,1200.0,1200.0,1890.0,175.0,175.0
250,TUB16016010,TUB16016010,37.4,16.0,16.0,0.625,1450.0,1450.0,2320.0,214.0,214.0
251,TUB180605,TUB180605,14.4,18.0,6.0,0.3125,546.0,97.0,274.0,78.1,35.8
252,TUB180606,TUB180606,17.1,18.0,6.0,0.375,641.0,113.0,322.0,92.2,42.1
253,TUB180608,TUB180608,22.4,18.0,6.0,0.5,818.0,141.0,410.0,119.0,53.9
254,TUB200405,TUB200405,14.4,20.0,4.0,0.3125,596.0,43.7,143.0,80.8,24.3
255,TUB200406,TUB200406,17.1,20.0,4.0,0.375,699.0,50.3,165.0,95.3,28.5
256,TUB200408,TUB200408,22.4,20.0,4.0,0.5,889.0,61.6,205.0,123.0,36.0
257,TUB200805,TUB200805,16.9,20.0,8.0,0.3125,838.0,202.0,529.0,105.0,55.6
258,TUB200806,TUB200806,20.1,20.0,8.0,0.375,988.0,236.0,625.0,125.0,65.6
259,TUB200808,TUB200808,26.4,20.0,8.0,0.5,1270.0,300.0,806.0,162.0,84.7
260,TUB2001205,TUB2001205,19.4,20.0,12.0,0.3125,1080.0,495.0,1070.0,130.0,91.8
261,TUB2001206,TUB2001206,23.1,20.0,12.0,0.375,1280.0,583.0,1270.0,154.0,109.0
262,TUB2001208,TUB2001208,30.4,20.0,12.0,0.5,1650.0,750.0,1650.0,201.0,141.0
